"Id";"Identificador";"Empaquetado";"Cantidad";"Identificación";"Suministrador y ref";
1;"U9,U8,U7,U6";"SOT254P978X405-4N";4;"SFH6156-2T";;;
2;"AE1";"Texas_SWRA416_868MHz_915MHz";1;"Antenna";;;
3;"H3,H2,H1";"MountingHole_3.5mm";3;"MountingHole";;;
4;"J10,J9,J8,J7";"TerminalBlock_bornier-2_P5.08mm";4;"Screw_Terminal_01x02";;;
5;"U5";"SIM7600SA";1;"SIM7600SA";;;
6;"K1,K3,K4,K2";"Relay_SPDT_Finder_36.11";4;"FINDER-36.11";;;
7;"U4";"XCVR_RF-LORA-868-SO";1;"RF-LORA-915-SO";;;
8;"C8,C7,C6,C2,C1";"C_0805_2012Metric";5;"0.1uf";;;
9;"D3,D6,D5,D4";"D_SMA";4;"US1J";;;
10;"Q2,Q8,Q7,Q6,Q5,Q4,Q3,Q1";"SOT-23";8;"PN2222A";;;
11;"R25,R31,R30,R29,R28,R27,R26,R12,R11,R9,R7,R6,R5,R4,R1";"R_0805_2012Metric";15;"10K";;;
12;"R21,R24,R23,R22";"R_0805_2012Metric";4;"2.2K";;;
13;"U1";"ESP32-WROOM-32U";1;"ESP32-WROOM-32D";;;
14;"D8,D7";"LED_0805_2012Metric";2;"LED";;;
15;"J6";"Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical";1;"Conn_01x04";;;
16;"J13,J12,J11";"PinHeader_1x02_P2.54mm_Vertical";3;"Conn_01x02_Male";;;
17;"SW2";"SW_SPST_TL3342";1;"ARRANQUE";;;
18;"R20,R19,R18,R17";"R_0805_2012Metric";4;"500";;;
19;"R16";"R_0805_2012Metric";1;"47K";;;
20;"R15";"R_0805_2012Metric";1;"4.7K";;;
21;"R14,R13";"R_0805_2012Metric";2;"R0";;;
22;"SW1";"SW_SPST_TL3342";1;"RESET";;;
23;"R8";"R_0805_2012Metric";1;"20K";;;
24;"R3,R2";"R_0805_2012Metric";2;"0";;;
25;"D2";"LED_0805_2012Metric";1;"LED AMARILLO";;;
26;"D1";"LED_0805_2012Metric";1;"LED ROJO";;;
27;"C5,C4,C3";"C_0805_2012Metric";3;"10uf";;;
28;"U3";"SOT-223-3_TabPin2";1;"LM1117-5.0";;;
29;"U2";"SOT-223-3_TabPin2";1;"LM1117-3.3";;;
30;"J5";"Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical";1;"HUMEDAD";;;
31;"J4";"Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical";1;"TEMPERATURA PRESION";;;
32;"J3";"Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical";1;"MOVIMIENTO";;;
33;"J2";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"APERTURA";;;
34;"J1";"Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical";1;"Conn_01x03_MountingPin";;;
